gamma,reg_param,R2_exp_fit,density_parameter,order_parameter,aspect_ratio,convexity,growth_rate
1.85782506437404,-3.79555896696924,0.976613990208205,0.805124148708352,0.833271937425567,0.939870914130764,0.620279104232844,0.542029857742921
5.7185744187376,-1.941163997059,0.998323914174658,0.813224536745808,0.790804174962021,0.762666993723825,0.856557736187653,0.772581678414677
3.72365590491543,0.932021933463867,0.976850375999063,0.875316990701606,0.812164443695643,0.689702783109072,0.692867706165441,0.635309872071215
-1.03014251112286,0.653611208015166,0.925400975445638,0.830785427587568,0.804243644637611,0.628850012185017,0.893664340992449,0.180302149001214
6.85247333304859,1.74091209995586,0.997792913857192,0.914346964627927,0.807936063708333,0.575235234698364,0.877360479704422,0.740766602531941
1.21202132678903,-3.15180184934437,0.960109625376204,0.805564271519715,0.795723735143742,0.642476711762857,0.760905348096081,0.541668594220869
-0.580823703199594,-1.18918073231792,0.942662902047377,0.795267781241145,0.80825680856048,0.599008649723769,0.714769161106963,0.254255797643579
-0.13031527815807,0.133907410497994,0.965690639486514,0.818463958506048,0.816516359433035,0.707865316781294,0.745391100134871,0.289239338103112
2.83034934041231,-1.93674290862501,0.990205785030621,0.783960749981761,0.791111662203448,0.788850101683906,0.679660554589153,0.595367905697105
5.30124957818941,1.34007818187922,0.991083225814961,0.883364189367892,0.821686978895271,0.593378602881846,0.725502417946982,0.735082285688197
2.66230729003311,2.2329913760125,0.996365667579962,0.926273312247792,0.849944584476211,0.593644562608914,0.739985753367076,0.695750276532543
5.43461900352541,-1.16195518177543,0.971258396982125,0.813294511684555,0.753589042899498,0.811769544920963,0.722756405039278,0.588139840980158
-0.055480947930061,1.47350507673421,0.960912845953445,0.841746182047733,0.789599913900064,0.591523749649727,0.901857053711056,0.369496468335884
5.65433897246833,4.24239796391787,0.995004260063748,0.952137070490735,0.831151517671596,0.307935970631798,0.951442445529379,0.737937102473201
1.48001523477401,-0.182043444947301,0.975425006143869,0.806086993822924,0.779794491348784,0.601777807902752,0.813399604368449,0.597676863837773
2.10994495305659,2.71696225834336,0.996505848212386,0.967847115297527,0.918292662855322,0.581812586020615,0.828819224573495,0.69316924609169
0.834837691427322,-2.38806083983485,0.975838001936054,0.805444786929063,0.815168576411816,0.628805217450268,0.807416246279158,0.495665009824307
6.42753923289503,1.82818970870866,0.997816511375964,0.913803750771931,0.881050382579077,0.627896824313904,0.826314922132352,0.677978622255733
-0.872635074836874,2.16467378839114,0.924245815055779,0.823791998100439,0.803581382642422,0.624007537472993,0.727845335843439,0.220921000342425
6.68103721791574,2.49938352387194,0.962855061810619,0.958600878675228,0.90699415644697,0.535381584230725,0.863650584527825,0.597635447330901
-0.55916968544741,-2.59420851582347,0.978330572277963,0.784279475982533,0.804474223825909,0.613027469761946,0.59997447475887,0.294770857138646
-0.168594520068267,3.09136604403845,0.962108847511797,0.941178660511522,0.909398138252336,0.535751048992854,0.706025793556681,0.453628565870373
-0.711582093041037,3.51828678515943,0.943222882640677,0.888705920154229,0.908396013552924,0.457593479261981,0.940183472213339,0.423041949556457
0.456935743368467,-1.81738410674155,0.966289633050508,0.797156361079645,0.749411822624152,0.5669784007036,0.781593375228331,0.404646136063479
