Exp,gamma,reg_param,aspect_ratio,convexity,order_parameter,density_parameter,R2_exp_fit,growth_rate
Prior,5.301249578,1.340078182,0.593378603,0.725502418,0.821686979,0.883364189,0.991083226,0.735082286
Prior,2.66230729,2.232991376,0.593644563,0.739985753,0.849944584,0.926273312,0.996365668,0.695750277
Prior,5.434619004,-1.161955182,0.811769545,0.722756405,0.753589043,0.813294512,0.971258397,0.588139841
Prior,-0.055480948,1.473505077,0.59152375,0.901857054,0.789599914,0.841746182,0.960912846,0.369496468
Prior,5.654338972,4.242397964,0.307935971,0.951442446,0.831151518,0.95213707,0.99500426,0.737937102
Prior,1.480015235,-0.182043445,0.601777808,0.813399604,0.779794491,0.806086994,0.975425006,0.597676864
Prior,2.109944953,2.716962258,0.581812586,0.828819225,0.918292663,0.967847115,0.996505848,0.693169246
Prior,0.834837691,-2.38806084,0.628805217,0.807416246,0.815168576,0.805444787,0.975838002,0.49566501
Prior,6.427539233,1.828189709,0.627896824,0.826314922,0.881050383,0.913803751,0.997816511,0.677978622
Prior,-0.872635075,2.164673788,0.624007537,0.727845336,0.803581383,0.823791998,0.924245815,0.220921
Prior,6.681037218,2.499383524,0.535381584,0.863650585,0.906994156,0.958600879,0.962855062,0.597635447
Prior,-0.559169685,-2.594208516,0.61302747,0.599974475,0.804474224,0.784279476,0.978330572,0.294770857
Prior,-0.16859452,3.091366044,0.535751049,0.706025794,0.909398138,0.941178661,0.962108848,0.453628566
Prior,-0.711582093,3.518286785,0.457593479,0.940183472,0.908396014,0.88870592,0.943222883,0.42304195
Prior,0.456935743,-1.817384107,0.566978401,0.781593375,0.749411823,0.797156361,0.966289633,0.404646136
